organizationid,organizationname,locationid,locationname,categoryid,categoryname,menuitemid,menuitemname,catalogid,itemunitprice,price_changed_on,item_class_type,entitytype,calories,protein,sugar,fat,is_alcoholic,is_vegetarian_item,is_vegan_item,has_allergen,is_active,is_deleted,gms_created_on,gms_modified_on,sysinserttime,average_rating,rating_count,norm_ts_name
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-d45f4b24-0d3a-4ed2-a2c1-836ffd78e021,Pico Burrito Demo,cat-baef806c-9c0e-4b8e-8c81-4c9214119838,Tacos(PB),itm-caf51e85-2722-4d61-8af0-019be9a9d7bd,Beef Taco (PB),catlg-e43f1efc-34ec-4723-a5d2-a3410c82b197,5.0000,2025-09-11 12:20:57.798604,0,Item,285,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-06-27 19:14:42.495335,2025-12-19 09:48:27.256195,2026-05-12 14:35:54.174971,NULL,NULL,beef pb taco
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-d45f4b24-0d3a-4ed2-a2c1-836ffd78e021,Pico Burrito Demo,cat-3b6704fc-effa-4ebf-a197-a92f48923e4c,Bowls(PB),itm-3241b295-3ae4-43d0-870c-09882b0fbbb4,Shrimp Burrito Bowl (PB),catlg-e43f1efc-34ec-4723-a5d2-a3410c82b197,7.0000,2025-09-11 05:35:23.901276,0,Item,550,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-06-27 19:14:42.487625,2025-09-12 09:46:37.392236,2026-05-12 14:35:54.174971,NULL,NULL,bowl burrito pb shrimp
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-d45f4b24-0d3a-4ed2-a2c1-836ffd78e021,Pico Burrito Demo,cat-414e31ec-0fab-4e53-8f63-831e4f38d9f4,Quesadillas(PB),itm-38aeff6d-d666-4ea7-8d3a-9236d80f71c5,Chicken Quesadilla (PB),catlg-e43f1efc-34ec-4723-a5d2-a3410c82b197,4.9900,2025-06-27 19:14:47.069637,0,Item,620,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-06-27 19:14:42.487637,2025-09-12 09:46:37.392242,2026-05-12 14:35:54.174971,NULL,NULL,chicken pb quesadilla
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-d45f4b24-0d3a-4ed2-a2c1-836ffd78e021,Pico Burrito Demo,cat-3b6704fc-effa-4ebf-a197-a92f48923e4c,Bowls(PB),itm-0638128f-ec88-4ecd-ab7a-24fd3c83674f,Beef Burrito Bowl(PB),catlg-e43f1efc-34ec-4723-a5d2-a3410c82b197,6.0000,2025-09-11 08:44:10.554644,0,Item,870,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-06-27 19:14:42.487619,2025-09-12 09:46:37.392233,2026-05-12 14:35:54.174971,NULL,NULL,beef bowl burrito pb
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-d45f4b24-0d3a-4ed2-a2c1-836ffd78e021,Pico Burrito Demo,cat-24066e7d-327c-4d16-80b1-4e703233c36e,jarritos(PB),itm-f11bbfd9-cbda-4c56-966d-a534baf7abf9,Mandarin(PB),catlg-e43f1efc-34ec-4723-a5d2-a3410c82b197,3.1000,2025-07-01 06:11:05.164814,0,Item,150,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-07-01 06:11:03.988722,2025-10-30 18:19:35.132034,2026-05-12 14:35:54.174971,NULL,NULL,mandarin pb
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-d45f4b24-0d3a-4ed2-a2c1-836ffd78e021,Pico Burrito Demo,cat-dab89f2b-56cd-4038-9228-aff7a38e8c98,Build Your Own	,itm-d608c638-4af6-4e65-9171-018faff51a39,Build Your Own Quesadilla (PB),catlg-e43f1efc-34ec-4723-a5d2-a3410c82b197,3.9900,2025-06-27 19:14:47.062464,0,Item,610,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-06-27 19:14:42.487636,2025-09-12 09:46:37.392242,2026-05-12 14:35:54.174971,NULL,NULL,build own pb quesadilla your
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-d45f4b24-0d3a-4ed2-a2c1-836ffd78e021,Pico Burrito Demo,cat-3b6704fc-effa-4ebf-a197-a92f48923e4c,Bowls(PB),itm-4c27461b-4f50-4955-a88c-95ef293b0d16,Build Your Own Bowl (PB),catlg-e43f1efc-34ec-4723-a5d2-a3410c82b197,5.0000,2025-09-11 11:24:07.514132,0,Item,600-900,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-06-27 19:14:42.487622,2025-09-12 09:46:37.392235,2026-05-12 14:35:54.174971,NULL,NULL,bowl build own pb your
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-d45f4b24-0d3a-4ed2-a2c1-836ffd78e021,Pico Burrito Demo,cat-978febf4-ab79-4b69-b68d-41fb925045c3,Burritos(PB),itm-a43072f4-acd3-480a-ab4e-4d4547cc1736,Veggie Burrito (PB),catlg-e43f1efc-34ec-4723-a5d2-a3410c82b197,4.5000,2025-09-11 08:44:10.554646,0,Item,665,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-06-27 19:14:42.487631,2025-09-12 09:46:37.392239,2026-05-12 14:35:54.174971,NULL,NULL,burrito pb veggie
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-d45f4b24-0d3a-4ed2-a2c1-836ffd78e021,Pico Burrito Demo,cat-baef806c-9c0e-4b8e-8c81-4c9214119838,Tacos(PB),itm-1a6c0c5a-d5b8-4ba4-b3a8-6ec958bfa766,Pico’s Birria Taco(PB),catlg-e43f1efc-34ec-4723-a5d2-a3410c82b197,6.0000,2025-09-11 12:20:57.798605,0,Item,330,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-07-07 05:51:51.768041,2025-09-15 04:46:15.890998,2026-05-12 14:35:54.174971,NULL,NULL,birria pb pico s taco
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-d45f4b24-0d3a-4ed2-a2c1-836ffd78e021,Pico Burrito Demo,cat-aa95cf50-55ba-4610-89c3-bce5e31d8154,Sides(PB),itm-54cd7041-8523-4e65-9932-23100a3b3b38,Chips and Salsa (PB),catlg-e43f1efc-34ec-4723-a5d2-a3410c82b197,2.5000,2025-09-11 11:09:53.939774,0,Item,150,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-06-27 19:14:42.487638,2025-09-12 09:46:37.392243,2026-05-12 14:35:54.174971,NULL,NULL,and chips pb salsa
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-d45f4b24-0d3a-4ed2-a2c1-836ffd78e021,Pico Burrito Demo,cat-aa95cf50-55ba-4610-89c3-bce5e31d8154,Sides(PB),itm-8e4a2972-92ec-423a-aed9-5d50b83536f0,Chips And Queso (PB),catlg-e43f1efc-34ec-4723-a5d2-a3410c82b197,0.5000,2025-09-11 11:09:54.009902,0,Item,260,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-06-27 19:14:42.487638,2025-09-12 09:46:37.392243,2026-05-12 14:35:54.174971,NULL,NULL,and chips pb queso
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-d45f4b24-0d3a-4ed2-a2c1-836ffd78e021,Pico Burrito Demo,cat-2637bd40-dcd7-4b43-b594-034db7c11745,Drinks(PB),itm-5f78b000-bd4d-4943-9c1a-151ecccd253f,Iced Water (PB) ,catlg-e43f1efc-34ec-4723-a5d2-a3410c82b197,0.1000,2025-07-07 05:51:52.91168,0,Item,0,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-06-27 19:14:42.487632,2025-09-12 09:46:37.392239,2026-05-12 14:35:54.174971,NULL,NULL,iced pb water
