organizationid,organizationname,locationid,locationname,categoryid,categoryname,menuitemid,menuitemname,catalogid,itemunitprice,price_changed_on,item_class_type,entitytype,calories,protein,sugar,fat,is_alcoholic,is_vegetarian_item,is_vegan_item,has_allergen,is_active,is_deleted,gms_created_on,gms_modified_on,sysinserttime,average_rating,rating_count,norm_ts_name
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-0e2ed811-df7a-4eb4-b9b5-dcfcb1d25cea,Pizza,itm-7f723823-fd47-4d77-8570-b4f6d8986d4d,Melt Cheesesteak,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,True,2025-12-24 14:58:08.208856,2025-12-24 14:58:08.208856,2026-05-12 14:35:54.174971,NULL,NULL,cheesesteak melt
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-0e2ed811-df7a-4eb4-b9b5-dcfcb1d25cea,Pizza,itm-289a73bc-1e90-4630-af92-8946dc0144a6,BBQ Chicken Pizza,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,1.0000,2025-12-24 15:39:34.837212,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403713,2026-05-12 14:35:54.174971,NULL,NULL,bbq chicken pizza
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-19efd949-c0f9-411e-9d7b-57b88a7fbae7,School Lunch,itm-45eed692-cb4c-4b76-a608-4471e2307fa6,Pepperoni Pizza,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,True,2025-12-24 14:58:08.208856,2025-12-24 14:58:08.208856,2026-05-12 14:35:54.174971,NULL,NULL,pepperoni pizza
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-347eafd6-12d2-4222-af1a-54387ed89814,WingStreet,itm-f8995909-25c0-465a-ac28-fc421adf9633,Naked,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,5.0000,2025-12-24 15:39:29.403743,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2026-03-26 21:42:55.429967,2026-05-12 14:35:54.174971,NULL,NULL,naked
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-347eafd6-12d2-4222-af1a-54387ed89814,WingStreet,itm-409dc07c-1b2f-4383-875e-f7009c54a026,Apple Pies,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,5.0000,2025-12-24 15:39:18.701063,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2026-03-26 21:38:32.977824,2026-05-12 14:35:54.174971,NULL,NULL,apple pies
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-1852958f-c5d8-4ff0-99c2-eede6e11765b,Appetizer,itm-0c61c619-3a31-45a1-9437-14671b0d13d2,Ranch Dip Cup,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,0.4000,2025-12-24 15:39:19.434448,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403736,2026-05-12 14:35:54.174971,NULL,NULL,cup dip ranch
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-347eafd6-12d2-4222-af1a-54387ed89814,WingStreet,itm-973f958f-4172-45d4-8cfe-93327ee4592b,Nashville Hot Seasoning,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,10.0000,2025-12-24 15:39:19.490615,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403721,2026-05-12 14:35:54.174971,NULL,NULL,hot nashville seasoning
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-0e2ed811-df7a-4eb4-b9b5-dcfcb1d25cea,Pizza,itm-ba30bcce-2e14-4e73-951e-2504a2695614,Pesto Margherita Pizza,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,1.9900,2025-12-24 15:39:34.41339,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403717,2026-05-12 14:35:54.174971,NULL,NULL,margherita pesto pizza
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-1852958f-c5d8-4ff0-99c2-eede6e11765b,Appetizer,itm-02802b8a-d784-41d3-96e2-8d21301421eb,Roasted Garlic Cheese Sticks,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,4.9900,2025-12-24 15:39:18.312772,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2026-03-26 21:12:22.050158,2026-05-12 14:35:54.174971,NULL,NULL,cheese garlic roasted sticks
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-19efd949-c0f9-411e-9d7b-57b88a7fbae7,School Lunch,itm-676aafd6-313f-41ca-a5d8-a008ddedc02f,Cheese Pizza,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,True,2025-12-24 14:58:08.208856,2025-12-24 14:58:08.208856,2026-05-12 14:35:54.174971,NULL,NULL,cheese pizza
