organizationname,organizationid,locationid,locationname,catalogid,catalogname,is_catalog_deleted,catalog_created_on,catalog_modified_on,id,menuitemid,menuitemname,guest,effective_date,item_class_type,entitytype,calories,protein,sugar,fat,is_alcoholic,is_vegetarian_item,is_vegan_item,has_allergen,is_active,is_deleted,gms_created_on,gms_modified_on,itemunitprice,price_changed_on,sysinserttime,sysupdatetime,catalogid,average_rating,rating_count
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189768,itm-975fe732-99e3-4582-8e7e-11a9944660e6,HWHAP Loaded Fries,1,NULL,2,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:42:31.074018,14.990,2026-03-20 19:23:55.271492,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,193981,itm-932545d0-ee1d-4d28-b394-d09f4583383f,50 Nugget Platter,1,NULL,5,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-04-23 20:00:29.92613,2026-05-27 19:51:36.305899,35.000,2026-04-23 20:00:30.556682,2026-05-04 10:44:02.324319,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189781,itm-e191152a-dabc-4688-a4ba-8c1808a836b2,Sandwich & Tender,1,NULL,1,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-04-14 13:16:56.585467,14.990,2026-03-20 19:23:54.919292,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189842,itm-de018b7f-0ea7-4e80-8f1f-b498fc12a3bd,Classic Chicken Sandwich,1,NULL,1,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-04-14 13:16:56.585469,11.990,2026-03-20 19:23:54.930791,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189763,itm-76e6276d-73b3-4b84-b1ef-009fb8701877,Tenders & Waffle,1,NULL,5,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-04-14 13:16:56.58547,12.990,2026-03-20 19:23:54.947773,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189739,itm-5828b2a5-c976-4623-af05-7a7c03179122,3 Tenders & Fries,1,NULL,5,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 17:10:03.230581,13.990,2026-03-20 19:23:54.954021,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189742,itm-645cef0f-b028-470d-a159-8a2f5d57d4db,Kids Meal,1,NULL,5,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-04-14 13:16:56.585471,6.990,2026-03-20 19:23:54.958312,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189838,itm-3ffc7a30-d1c8-4b6d-bf9d-26eeeed44439,10 pc Nugget Meal,1,NULL,5,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-04-14 13:16:56.585471,11.990,2026-03-20 19:23:54.963221,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189824,itm-ca11167a-0e7c-4648-8a00-13b4fdd3352a,15 pc Nugget Meal,1,NULL,5,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-04-14 13:16:56.585472,13.990,2026-03-20 19:23:54.968762,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189814,itm-acb95f5f-b91f-4e9f-be8a-6cf930ddf7a8,Cheese Fries,1,NULL,2,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-04-14 13:16:56.585472,5.990,2026-03-20 19:23:54.973256,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
