organizationid,organizationname,locationid,locationname,menuitemid,menuitemname,catalogid,itemunitprice,price_changed_on,item_class_type,entitytype,calories,protein,sugar,fat,is_alcoholic,is_vegetarian_item,is_vegan_item,has_allergen,is_active,is_deleted,gms_created_on,gms_modified_on,sysinserttime,average_rating,rating_count
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,itm-cb0bb2f3-bd9d-410a-b2ec-bd6d65075647,Citta Pasta Sausage,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,3.000,2026-07-20 21:08:04.965501,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 06:05:44.158742,NULL,NULL
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,itm-9b06a59a-7701-487e-90d3-f0a78e52d364,Chocolate Brownie Shake,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,6.990,2026-07-20 21:08:04.407834,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 06:05:44.158742,NULL,NULL
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,itm-cd5a58ed-3730-4baa-b1a4-0bd8aa97f97f,Spring Salad,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,10.000,2026-07-20 21:08:04.939539,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 06:05:44.158742,NULL,NULL
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,itm-665bab2c-f890-4aa2-8080-547122763675,Craft Your Own: Gardenburger,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,7.990,2026-07-20 21:08:04.746482,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 06:05:44.158742,NULL,NULL
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,itm-e5dd94fc-ebb3-4380-be22-c68b4e3666d7,Detroit - The Fig,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,12.000,2026-07-20 21:08:04.536327,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 06:05:44.158742,NULL,NULL
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,itm-aa721853-32e0-4746-8071-5fb48ea77bf3,Cinnamon Toast Crunch® Shake,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,6.990,2026-07-20 21:08:04.485468,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 06:05:44.158742,NULL,NULL
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,itm-733a152c-ce22-44a9-b293-ab8bee5322bd,Kids Meal - Grilled Cheese,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,7.290,2026-07-20 21:08:04.898071,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 06:05:44.158742,NULL,NULL
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,itm-3775bf0b-2ba2-4912-b612-f76399efb832,Chicken BLT,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,8.990,2026-07-20 21:08:04.766153,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 06:05:44.158742,NULL,NULL
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,itm-f2978a65-33f9-411e-8b40-cb50ddccd7cc,Regular Tater Tots,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,3.990,2026-07-20 21:08:04.801248,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 06:05:44.158742,NULL,NULL
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,itm-33cade0e-1757-4b47-9c24-be5711e74dcd,Neapolitan Wood Fired - Pizza Margherita,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,10.000,2026-07-20 21:08:04.903639,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 06:05:44.158742,NULL,NULL
