organizationid,organizationname,locationid,locationname,categoryid,categoryname,menuitemid,menuitemname,catalogid,itemunitprice,price_changed_on,item_class_type,entitytype,calories,protein,sugar,fat,is_alcoholic,is_vegetarian_item,is_vegan_item,has_allergen,is_active,is_deleted,gms_created_on,gms_modified_on,sysinserttime,average_rating,rating_count,norm_ts_name
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,cat-875b3e51-92f7-4f00-9f2e-6b95e7020a4b,Hot Sides,itm-e1cb276a-05ee-411c-8d48-2429a6c4682b,Fries,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,3.990,2026-07-20 21:08:05.073082,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 05:44:43.616499,NULL,NULL,fries
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,cat-0016b188-0ebf-4f82-b602-af0c30886c54,Taculto - Tacos & Bowls,itm-0d708fac-3cd1-4ec6-85e4-813f63c30305,Bowl - Chicken Fajita,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,10.000,2026-07-20 21:08:04.71023,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 05:44:43.616499,NULL,NULL,bowl chicken fajita
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,cat-0016b188-0ebf-4f82-b602-af0c30886c54,Taculto - Tacos & Bowls,itm-2b26a3f9-95c6-44f9-b86d-0b8b2fe8e165,Bowl - El Gringo,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,10.000,2026-07-20 21:08:04.382161,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 05:44:43.616499,NULL,NULL,bowl el gringo
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,cat-0016b188-0ebf-4f82-b602-af0c30886c54,Taculto - Tacos & Bowls,itm-2e775970-a4c0-4f83-a1f0-f706cd2741eb,Craft Your Own - Tacos (3),catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,10.000,2026-07-20 21:08:04.516192,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 05:44:43.616499,NULL,NULL,3 craft own tacos your
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,cat-0016b188-0ebf-4f82-b602-af0c30886c54,Taculto - Tacos & Bowls,itm-3bcac7b7-6ced-48a9-a0e9-69f07856840c,Bowl - Fuego Gringo,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,10.000,2026-07-20 21:08:04.613954,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 05:44:43.616499,NULL,NULL,bowl fuego gringo
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,cat-0016b188-0ebf-4f82-b602-af0c30886c54,Taculto - Tacos & Bowls,itm-4114e21e-54d7-41e7-827c-daffd7571796,Bowl - Veggie,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,10.000,2026-07-20 21:08:04.628951,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 05:44:43.616499,NULL,NULL,bowl veggie
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,cat-0016b188-0ebf-4f82-b602-af0c30886c54,Taculto - Tacos & Bowls,itm-48ce4350-a4ff-462f-a586-271975235b6f,Bowl - Chicken Club,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,10.000,2026-07-20 21:08:04.544924,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 05:44:43.616499,NULL,NULL,bowl chicken club
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,cat-0016b188-0ebf-4f82-b602-af0c30886c54,Taculto - Tacos & Bowls,itm-4e13d9b3-f583-4fed-b625-384df92cbc6d,3 Tacos - Chicken Club,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,10.000,2026-07-20 21:08:04.403626,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 05:44:43.616499,NULL,NULL,3 chicken club tacos
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,cat-0016b188-0ebf-4f82-b602-af0c30886c54,Taculto - Tacos & Bowls,itm-872d4080-300e-4567-8715-c8c5e7eb28b4,3 Tacos - Chicken Fajita,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,10.000,2026-07-20 21:08:04.688475,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 05:44:43.616499,NULL,NULL,3 chicken fajita tacos
org-30b00f49-c9a7-462a-bc5f-c113f4fb8a77,Square Trade Show,loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,Square Trade,cat-0016b188-0ebf-4f82-b602-af0c30886c54,Taculto - Tacos & Bowls,itm-cdc5f4fb-cdbf-4ab1-a37e-8a3ce0bf8b8f,3 Tacos - Veggie,catlg-c3c0ccc7-4b78-4e29-8653-e1ad80dc52f6,10.000,2026-07-20 21:08:04.935758,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-07-20 21:07:59.248527,2026-07-20 21:07:59.248527,2026-07-23 05:44:43.616499,NULL,NULL,3 tacos veggie
