id,name,total_freq_customers,active_freq_customers,inactive_freq_customers,orders_placed_by_freq_customers,amount_spent_by_freq_customers,avg_amount_spent_by_freq_customers
org-5834d77c-4c45-4f98-a110-4c0fcd977490,WaBa Grill,37580,5226,32354,7621,158842.240,20.8427030573415562
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,BurgerFi,18291,4126,14165,6544,178674.970,27.3036323349633252
org-668e8d67-584b-4d48-8612-9ddec5f0818c,Dave's Hot Chicken,14596,3496,11100,4283,107086.860,25.0027690870884894
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,Mr. Pickles Sandwich Shop,7536,1705,5831,2852,66645.410,23.3679558204768583
com-8umc347sbf,Bento,3688,3250,438,5100,135221.380,26.5139960784313725
org-bbd556dc-41be-4f09-9c5a-2024e9ad716b,Dairy Queen Texas,2798,483,2315,907,14835.840,16.3570452039691290
org-2b3dfdb4-c6b5-4cb1-ae7f-46b332638844,Bellevue Beverage Co,1135,376,759,1326,12379.080,9.3356561085972851
org-75ac29f0-21d8-4fa7-b7f9-b010d5df026d,Pita Pit,969,95,874,170,2214.650,13.0273529411764706
org-bc69b704-54f9-4233-bcd5-16c052d58d8f,Tony's Tacos,597,458,139,810,33146.380,40.9214567901234568
org-490e23ce-6f23-4d3d-8544-8728f0965cfc,Houston Hot Chicken,376,143,233,183,4801.730,26.2389617486338798
org-c1047cb3-6f67-4800-8e27-99c54d3980bc,Ziggi's Coffee,341,194,147,333,4041.910,12.1378678678678679
org-4eb0858e-7f92-435e-bc51-7bed67a55961,Brothers BBQ,103,36,67,40,1266.370,31.6592500000000000
org-a4f5fe04-50ec-48dc-8afe-294f3f8ade4a,Pinkbox Doughnuts,39,0,39,0,0,0.00000000000000000000
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,27,2,25,11,291.670,26.5154545454545455
org-c632bcdf-987f-42fd-87c3-effd3721e53e,Mr. Pickles (Deprecated),27,0,27,0,0,0.00000000000000000000
org-ff0a2581-0549-400a-9522-3ba9dfa8d99e,Yoshinoya,19,0,19,0,0,0.00000000000000000000
org-e07af72f-850f-4266-a421-23709dd503da,TOAST  GRUBBRR Lab1,11,0,11,0,0,0.00000000000000000000
org-38ce5a94-18db-40ef-afbf-d5988bed091a,HMS Host / Avolta,10,0,10,0,0,0.00000000000000000000
org-81961a5e-0b5a-4e74-bd1f-9dbce15fc3ee,Olo Sandbox,8,1,7,35,795.360,22.7245714285714286
org-ab5e9805-fdc3-4f36-a231-90d1659ae447,Oracle Simphony POS Gen-1(BFi),8,1,7,2,164.550,82.2750000000000000
org-8c7eb7e3-5278-4898-b362-6efbf82c756e,G-Olo Lab,7,0,7,0,0,0.00000000000000000000
org-dn9ukvce9j,NCR GRUBBRR Lab1,5,0,5,0,0,0.00000000000000000000
org-5754517c-2155-4384-8782-985725f44100,Automation Test (Do not Touch),5,0,5,0,0,0.00000000000000000000
org-c0b45cff-b4b8-4bf2-8d97-5aca04145b9b,Thai Chili 2 Go,4,0,4,0,0,0.00000000000000000000
org-96ed1e1e-a4de-4de0-9b82-4be94e203960,Churchs Olo Lab Menu,4,0,4,0,0,0.00000000000000000000
org-3f114600-d00c-435d-8b54-7492b7f7594c,Raising Cane's,3,0,3,0,0,0.00000000000000000000
org-2e18c3a6-5a09-4500-85b9-fd63ea3c7172,Wayback Burgers,2,0,2,0,0,0.00000000000000000000
org-fce5853c-91e9-4f26-bdcf-120c6812bba3,G Toast Lab,2,0,2,0,0,0.00000000000000000000
org-7b76f4b4-7732-43b7-8c89-0a6c949ba1c2,AN Test Organization,1,1,0,2,42.930,21.4650000000000000
org-8b02b14a-4a7b-4e16-9bd1-1214f3efad09,BETA: Simphony Gen-1,1,0,1,0,0,0.00000000000000000000
org-c423a6da-65d4-4372-81f8-d80fecf3e71f,G Par Lab - Picco  Burrito,1,0,1,0,0,0.00000000000000000000
