organizationid,organizationname,locationid,locationname,catalogid,catalogname,menuitemid,menuitemname,item_class_type,modifiergroupid,modifiergroupname,modifierid,modifiername,modifier_class_type,is_modifier_default,min_quantity,max_quantity,allow_quantity_increment,increment_step,modifier_default_quantity,is_modifier_invisible,calories,price,is_modifier_active,is_modifier_deleted,modifier_created_on,modifier_modified_on,sysinserttime
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-1a1da687-1152-40e9-9c6e-0588a3f85ecd,Sweet Thai Chili,0,False,0,99,True,NULL,NULL,False,,0.2500,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-1eea5019-2f0f-4ac4-9927-e00f915b3c61,Seasoning,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-1fc9272c-28bd-4818-bb73-4aa31fed286b,Pickles,0,False,0,99,True,NULL,NULL,False,,0.5000,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-20f0734a-06cb-48fe-a164-08d7dd846e02,**Peanut Allergy**,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-22cb319e-2d5d-4af1-8d0b-2d666e351b74,Tomato,0,False,0,99,True,NULL,NULL,False,,0.5000,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-2464c2cb-9427-4d03-8914-3d4acb108685,Crispy,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-2d209fd1-dd87-43d3-af7a-1a847c5ed9de,Burger Patty,0,False,0,99,True,NULL,NULL,False,,2.0000,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-2f3add64-4973-4430-8b50-ef3435481100,Mushrooms,0,False,0,99,True,NULL,NULL,False,,0.5000,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-2fb08a9a-746b-4564-a274-52df5a5065eb,Plain,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-30864dc9-6241-446c-b02f-807f59492929,Blue Cheese,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-31284282-ca54-440b-ac68-bdb722ac1566,No Salt,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
