organizationid,organizationname,locationid,locationname,catalogid,catalogname,modifiergroupid,modifierid,modifiername,modifier_class_type,min_quantity,max_quantity,allow_quantity_increment,calories_text,is_modifier_default,modifier_default_quantity,is_invisible,modifierprice,loc_modifier_popularity,org_modifier_popularity
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-4238da55-d337-4fb5-8882-559f0b6b45b7,modfr-71a19973-ce5b-436b-9a64-053d860cf403,Kebab Masala,0,0,0,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-4238da55-d337-4fb5-8882-559f0b6b45b7,modfr-9122d6d5-b6f2-4ed5-ada9-f1d8db4fef3f,Black Papper,0,0,1,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-610ba859-0f44-46dc-be59-ab8b08c59607,modfr-000d7351-cbcc-40a0-b054-80f6f41d961e,Cheese,0,0,0,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-610ba859-0f44-46dc-be59-ab8b08c59607,modfr-9201bd9e-2dd9-4b0e-8b8a-3125291c5263,Beans,0,0,0,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-610ba859-0f44-46dc-be59-ab8b08c59607,modfr-9d857e37-de56-4e2b-bbb5-59d3be3dccb0,egg,0,0,0,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-610ba859-0f44-46dc-be59-ab8b08c59607,modfr-9da81626-e03c-45fe-a615-3c93394deab0,capcicum,0,0,0,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-610ba859-0f44-46dc-be59-ab8b08c59607,modfr-b62f806e-419f-4b89-8d32-aebb75602984,Lettuce,0,0,0,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-6263e5a8-fbb8-43a9-8454-1c0d7a49dd7e,modfr-58cba52c-f5f9-4d22-aad2-f9e383b8dee0,Lettuce,0,0,0,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-ca0a37d4-5924-43f9-a765-07b08be90fbb"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 4, ""pct_relative_selection_frequency"": 57}, {""menuitemid"": ""itm-a56083e1-6fed-4b30-a309-43ead87b68b8"", ""item_class_type"": 4, ""modifier_selection_ranking"": 2, ""x_times_added_on_to_the_item"": 2, ""pct_relative_selection_frequency"": 28}, {""menuitemid"": ""itm-0cca9439-71e3-4856-85fe-ceda5f4ed910"", ""item_class_type"": 1, ""modifier_selection_ranking"": 3, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 14}]","[{""menuitemid"": ""itm-ca0a37d4-5924-43f9-a765-07b08be90fbb"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 4, ""pct_relative_selection_frequency"": 57}, {""menuitemid"": ""itm-a56083e1-6fed-4b30-a309-43ead87b68b8"", ""item_class_type"": 4, ""modifier_selection_ranking"": 2, ""x_times_added_on_to_the_item"": 2, ""pct_relative_selection_frequency"": 28}, {""menuitemid"": ""itm-0cca9439-71e3-4856-85fe-ceda5f4ed910"", ""item_class_type"": 1, ""modifier_selection_ranking"": 3, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 14}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-6263e5a8-fbb8-43a9-8454-1c0d7a49dd7e,modfr-99a3fa83-48d5-469a-9647-54bee3f401fe,Onion,0,0,0,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-ca0a37d4-5924-43f9-a765-07b08be90fbb"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-ca0a37d4-5924-43f9-a765-07b08be90fbb"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-6495b933-09e1-4f51-bb5a-8a5af15aceed,modfr-2dbd6484-5b35-4ec6-a1c0-250998f933aa,Coriander,0,0,1,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-ca0a37d4-5924-43f9-a765-07b08be90fbb"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 2, ""pct_relative_selection_frequency"": 66}, {""menuitemid"": ""itm-a56083e1-6fed-4b30-a309-43ead87b68b8"", ""item_class_type"": 4, ""modifier_selection_ranking"": 2, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 33}]","[{""menuitemid"": ""itm-ca0a37d4-5924-43f9-a765-07b08be90fbb"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 2, ""pct_relative_selection_frequency"": 66}, {""menuitemid"": ""itm-a56083e1-6fed-4b30-a309-43ead87b68b8"", ""item_class_type"": 4, ""modifier_selection_ranking"": 2, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 33}]"
