menuitemid,menuitemname,average_rating,rating_count,rating_stddev
itm-4302d464-5a4a-4c90-8798-126de468d368,Double Double,4.71,112,0.67
itm-18ac688a-9d32-40f9-909b-436de8d327be,HWHAP 3 Tenders and Fries Meal,4.4,171,0.67
itm-c4f3f0c5-c57a-40d7-a3a2-b12fbcb29fef,HWHAP Classic Sandwich (a la carte),4.74,379,0.34
itm-54dcc1b2-e7fb-450f-b987-87623145b6ec,Caesar Dressing (2 oz),4.54,115,0.35
itm-0020ec44-11f6-4730-a5f3-206652882d31,Maple Syrup (2 oz),4.39,408,0.31
itm-3713f641-3c78-4c70-a45c-91debdc83ca5,Original Sandwich Platter (10),4.36,432,0.65
itm-b42f0252-840d-4a6d-bde5-aea3dc96401b,Red Velvet Wheely,4.54,329,0.59
itm-2de55580-e8d3-4878-9bb1-458fc2e03eae,Cilantro Ranch (2 oz),4.85,103,0.68
itm-9627e762-46d3-499f-ba06-a7a185f14f01,The Mondi,4.33,316,0.47
itm-3be78ee3-3d5b-400a-89db-62804341738f,Chilled Cucumber Watermelon Lemonade,4.32,490,0.47
itm-347f52f0-7613-4c78-934e-e0773ce1fa7c,10 Tender Tray,4.27,149,0.48
itm-c7a051df-d97e-4fed-a3b7-273c756b13bf,Original Hot Chicken Sandwich,4.48,235,0.7
itm-932545d0-ee1d-4d28-b394-d09f4583383f,50 Nugget Platter,4.78,374,0.36
itm-d53628f9-dd35-4e7c-a0a8-c0950dabe0e9,20 Tender Platter,4.94,140,0.58
itm-6af13cee-190c-4202-a470-5cfec10d2210,HWHAP 10 pc Nugget Meal,4.86,416,0.74
itm-86a795a2-1d3e-45cf-b021-68826343b277,Small Fountain Drink,4.49,198,0.65
itm-18510abe-0b1e-44f0-9159-44457210064d,Waffle Sandwich,4.24,216,0.69
itm-901132b0-8e64-46b4-95b7-4317331f39c0,Cookie Crumble,4.99,219,0.73
itm-975fe732-99e3-4582-8e7e-11a9944660e6,HWHAP Loaded Fries,4.5,332,0.62
itm-aa06c34b-bd82-485b-ba88-63d1d9b97a8c,Shareable Caesar Salad,4.49,289,0.48
itm-cffb5cd5-2086-41a6-9b7f-8e2123e6aa14,Texas Caesar Salad,4.74,459,0.77
itm-b8ec6b52-ba17-4039-b6c0-e5aa934463c7,Tender (a la carte),4.72,411,0.62
itm-761e9494-dcee-48cc-beb2-94f07ea18c8b,Frozen Cucumber Watermelon Lemonade,4.63,225,0.38
itm-9efa06bb-1d5d-4a0e-9909-e723da5e3dbc,HWHAP Chicken Tortilla Soup,4.5,427,0.64
itm-b276eb1b-2c09-4ce4-baed-558139aea853,HWHAP 15 pc Nuggets (a la carte),4.38,266,0.72
itm-c0e7064c-2a2f-480c-8ada-0e140bfdd15e,HWHAP Cheesy Hot Chicken Sandwich Meal,4.82,217,0.71
itm-d9aae901-9661-4c7e-a12f-1ba067b67164,Large Chips Platter,4.84,305,0.43
itm-969b42ba-be7d-4720-9881-004680301a4a,BBQ Sauce (2 oz),4.37,390,0.74
itm-39c0c096-ccc0-42a1-9d0d-82b7d7e6ca22,Shake N' Fries,4.45,435,0.55
itm-c5639ef8-2aae-4291-b7ee-72903ec0c430,Chilled Strawberry Hibiscus Lemonade,4.91,429,0.53
itm-185e8a5b-61f3-459a-9905-dd9ebbb827dc,House Sauce (2 oz),4.41,226,0.67
itm-581515ec-47a9-4abc-aea2-9db4537f87c2,Chocolate Chip Wheely,4.63,482,0.59
itm-acb95f5f-b91f-4e9f-be8a-6cf930ddf7a8,Cheese Fries,4.92,304,0.48
itm-5b9932cd-c6c3-4725-a91a-acf549a20ca0,Pellegrino Sparkling,5,170,0.55
itm-ca11167a-0e7c-4648-8a00-13b4fdd3352a,15 pc Nugget Meal,4.27,124,0.73
itm-b5812acd-12a5-476c-984b-a92addb9648c,Original Sandwich (a la carte),4.32,181,0.7
itm-c558bf87-257b-406d-974b-4a75eca3e74b,Southwest Salad,4.54,132,0.49
itm-89247769-02d1-4049-8c67-38d7b5b6337e,Cheese Sauce (2 oz),4.68,339,0.56
itm-e5bc4e0e-fcf1-4bf2-b3e2-24f42cd1309d,Cookie Monster Wheely,4.98,105,0.64
itm-1b749dcb-f4ff-43ef-b3b5-52cff9a37583,Regular Fountain Drink,4.29,374,0.68
itm-a27dfce0-5b2c-4d05-8ad0-f9d6379d5d0a,Classic Sandwich (a la carte),4.81,274,0.36
itm-aba8cee5-e0a3-4260-9577-c253724468ec,HWHAP Texas Caesar Salad,4.55,332,0.3
itm-c51db4d9-be7c-4410-b3d5-700271f59219,Fries (side),4.78,468,0.43
itm-de018b7f-0ea7-4e80-8f1f-b498fc12a3bd,Classic Chicken Sandwich,4.6,191,0.55
itm-645cef0f-b028-470d-a159-8a2f5d57d4db,Kids Meal,4.29,420,0.45
itm-5828b2a5-c976-4623-af05-7a7c03179122,3 Tenders & Fries,4.71,411,0.4
itm-6e6d6cc1-524c-4d66-b986-b7602c9001a3,Pickles (side),4.5,182,0.57
itm-f0385894-3d01-4874-b815-7747fb2fe161,HWHAP Original Sandwich (a la carte),4.82,371,0.76
itm-acea98e0-3a88-4f0e-b0c0-2b1303b18120,Chips Platter,4.68,350,0.31
itm-dabf9c8c-af38-4127-a3a2-084b1a1b7e85,Honey (1 oz),4.94,257,0.42
itm-e3ea6120-65dd-484a-89e8-70363f13be0c,HWHAP Original Hot Chicken Sandwich Meal,4.39,390,0.77
itm-21395a44-08e9-4600-ab09-b4a13f71f27a,HWHAP Classic Chicken Sandwich Meal,4.27,348,0.71
itm-170b2289-abe6-47c0-be6d-e2444f3db111,Cheesy Hot Chicken Sandwich,4.98,372,0.68
