organizationid,locationid,rowcount
org-ug5zsn9mpq,loc-x4pw1awq97,6399015
org-ug5zsn9mpq,loc-f5apk9hxfi,5298809
org-530088c8-b610-400a-9514-35746de2f969,loc-3cdd17a5-bc1e-4fcd-871a-0b9f8fe378d1,4020177
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,loc-d60c9341-3aa1-4d8d-a44f-1840d257111b,3876926
org-aeb28116-ef76-488e-aa3a-07a1f5f6d730,loc-5612a26c-93bf-4d92-b208-33a8ec1b95a7,3805823
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-73ad6e86-1f5c-4123-adbb-4b12339ea171,3238462
org-00a1dad9-d1c8-427f-807c-033745d7d4cb,loc-295d86df-b65a-43b9-8f98-cc2d5ba06b87,2924804
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,loc-38170088-1b4b-4b2d-941c-bb462cc576b1,2856312
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,loc-0157f49f-e7c0-4cc4-9ab7-4f7a8d2c26d3,2620559
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-7d483b28-0129-4e28-b32c-105bfcc993f0,2584847
org-46f20731-82ee-4e43-804d-e09066ca0cd8,loc-7e9a71bd-fc62-4b65-8b66-a702d65cbf5a,2564008
org-01f3c609-7e51-4d35-8d13-d00634a67c42,loc-396f1075-e9d7-47c8-89b3-575d7b8dcb1c,2516993
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,loc-41cca490-a602-459f-8868-e55c80b105ac,2467241
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,loc-c6dce51c-4fff-4c9a-940a-9f975cda8d66,2419070
org-18dfd16e-0586-43cb-84d7-b26af3ce4db1,loc-e0ec65bd-7ed5-4f54-8373-62e5cfdf7aa7,2162973
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,loc-0ffac336-5724-4a62-ac33-76c2902467b6,2153084
org-bc69b704-54f9-4233-bcd5-16c052d58d8f,loc-7be755c3-4af6-47c5-a134-b09beb7e23e0,1881506
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,loc-5db960d5-43d2-403f-9734-befc0b77cb1c,1682376
org-14bb3e55-31ab-48f3-8a7f-b11e32c097c0,loc-e0f008f1-fe99-4214-8922-f1093546bd70,1645133
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-8ead49a8-798b-4786-988a-90bbbb4775c7,1619203
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,loc-aaf3db0f-070f-466e-b393-2b4c7455ec72,1593765
org-45298862-0aa5-4254-9985-73fffcc7bbf3,loc-75b6d876-062b-4692-8778-089e5755329d,1566552
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,loc-54c315c1-bc3d-4973-963d-b564ead612bd,1555980
org-14bb3e55-31ab-48f3-8a7f-b11e32c097c0,loc-a572fa8d-d4f4-4a3b-9c5b-b3d311b7b4cf,1537575
com-8umc347sbf,loc-fa186c95-b531-4744-8332-607cd7ba68f5,1440883
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-26335157-cfac-40a3-b901-2bca43618bc6,1389620
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,loc-ae6000db-6fdc-4c4a-9a68-d321a44cb6a1,1356360
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,loc-204039f9-110e-4c41-8cbb-b9d6c04de215,1301885
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-f89e4bcb-5adf-46be-ba21-359fb6eb465e,1279087
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,loc-72cd6945-5b7c-4fa5-942b-ee3ec8f21881,1270341
org-45298862-0aa5-4254-9985-73fffcc7bbf3,loc-592900ef-9fa7-4d9d-b3e5-7482f96d4026,1220061
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-ed51bbb5-c506-4984-b9d9-ab505e6e351f,1183166
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-48c7aa17-b789-4d26-98df-311ee606f3ad,1128132
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,loc-01064db7-fb4e-488c-b0dc-441486c632db,1068547
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-92a4c9fb-2612-407d-a2a7-99b160ece6ce,1055257
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-84520663-9db7-4154-aab9-33ca718b550e,1034407
org-2b3dfdb4-c6b5-4cb1-ae7f-46b332638844,loc-ac905f5d-6f72-4057-b055-6a466c4b86d6,1010091
org-01f3c609-7e51-4d35-8d13-d00634a67c42,loc-7cb3b51b-773e-4554-8436-f741d528d855,1008378
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-749841c8-32bd-499c-a44a-e6f02d33e470,1003919
org-4c37c494-b638-45ce-90a7-66744964c2e1,loc-e73fdbc1-d8cb-4e88-9809-8f7041cab09b,987259
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,loc-b3dc6588-dc7e-45c4-a854-e5a53d42744a,962515
com-8umc347sbf,loc-21e743bf-9696-4252-ba52-69f2c9ccd90c,950939
org-c9616111-4382-4704-bf5e-b4ec300a4a92,loc-fc13a3c5-167a-45fc-b6b5-6ac401f88ced,944715
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-96f0d639-95a2-4e42-b9ba-35e836bec523,910615
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-c9df0f68-c306-4dea-9fd3-290417065a03,889645
com-8umc347sbf,loc-a28a539a-edf5-41e1-9e6f-c1cda652c76f,881795
com-8umc347sbf,loc-77044501-2188-4fbc-b97b-39efed1bc190,867082
org-0281beee-a2f2-46fb-ac88-cc20df85fbfc,loc-d98b26e6-ba02-4f65-8f2f-4cb248ab5ba3,850631
org-7cad1564-b674-4022-8891-f2c9b714b00c,loc-8f7cae60-8965-4d63-b2f3-01889d982ca4,837491
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-9655cd44-3062-4b0e-9ed5-d706c8901577,814976
