locationid,frequentcustomerid,transactionheaderid,menuitemid,itemname,item_class_type,itemquantity,itemunitprice,numberofitems,ordersubtotal,ordertypelabel,orderdatelocal,businessdate,yyyy,mm,dd,hh,ww,yyww
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000003,itm-e5919685-4155-4ae9-91dd-514819908649,Mango(PB),4,1,3.1,2,8.6,DineIn,2026-06-19 12:43:00,2026-06-19,2026,6,19,12,25,202625
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000003,itm-766ef0e9-02b6-4894-ade0-48a21588b4b9,Chicken Burrito Bowl (PB),1,1,5.5,2,8.6,DineIn,2026-06-19 12:43:00,2026-06-19,2026,6,19,12,25,202625
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000004,itm-21f0d419-1743-4388-a2b6-b88860ad0d2b,Shrimp Burrito Bowl (PB),1,1,7.0,3,10.6,DineIn,2026-06-24 21:42:00,2026-06-24,2026,6,24,21,26,202626
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000004,itm-871941bb-4a43-4efc-9724-e9c0b50dedd7,Lime(PB),4,1,3.1,3,10.6,DineIn,2026-06-24 21:42:00,2026-06-24,2026,6,24,21,26,202626
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000004,itm-595b18a7-a24b-44e5-9353-8b6b3ed89c70,Chips And Queso (PB),2,1,0.5,3,10.6,DineIn,2026-06-24 21:42:00,2026-06-24,2026,6,24,21,26,202626
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000005,itm-a3299a4e-fd91-4a6b-9015-bf458ce6eeac,Shrimp Taco (PB),1,2,6.0,5,54.08,DineIn,2026-05-28 20:58:00,2026-05-28,2026,5,28,20,22,202622
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000005,itm-fa906c20-2d01-4c89-ba3b-c4b96e7380ad,Beef Taco (PB),1,1,5.0,5,54.08,DineIn,2026-05-28 20:58:00,2026-05-28,2026,5,28,20,22,202622
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000005,itm-8b86e5de-889d-4c5a-bf14-8ba058a4101d,Pulled Pork Taco (PB),1,2,7.99,5,54.08,DineIn,2026-05-28 20:58:00,2026-05-28,2026,5,28,20,22,202622
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000005,itm-063f60b9-c441-4be4-90e7-605b47579670,Pico’s Birria Taco(PB),1,3,6.0,5,54.08,DineIn,2026-05-28 20:58:00,2026-05-28,2026,5,28,20,22,202622
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000005,itm-e5919685-4155-4ae9-91dd-514819908649,Mango(PB),4,1,3.1,5,54.08,DineIn,2026-05-28 20:58:00,2026-05-28,2026,5,28,20,22,202622
loc-7e11383c-03a8-40bb-866e-ec596d780773,gfc-202607150634244,ORD-000007,itm-5ff1a09a-73bc-4510-ad65-a5f5498523f6,Chicken Burrito (PB),1,1,5.0,3,11.1,DineIn,2026-06-18 14:07:00,2026-06-18,2026,6,18,14,25,202625
loc-7e11383c-03a8-40bb-866e-ec596d780773,gfc-202607150634244,ORD-000007,itm-3689d651-2ef5-465c-b226-78098f718aec,Iced Water (PB),3,1,0.1,3,11.1,DineIn,2026-06-18 14:07:00,2026-06-18,2026,6,18,14,25,202625
loc-7e11383c-03a8-40bb-866e-ec596d780773,gfc-202607150634244,ORD-000007,itm-00e21783-0055-4284-8f54-6cae620eea27,Fried Ice Cream (PB),4,1,6.0,3,11.1,DineIn,2026-06-18 14:07:00,2026-06-18,2026,6,18,14,25,202625
loc-7e11383c-03a8-40bb-866e-ec596d780773,gfc-202607150836727,ORD-000008,itm-e5ff0495-3c2a-4c6d-97d7-0c1caf7e1978,Veggie Burrito (PB),1,1,4.5,6,23.79,DineIn,2026-05-18 20:08:00,2026-05-18,2026,5,18,20,21,202621
loc-7e11383c-03a8-40bb-866e-ec596d780773,gfc-202607150836727,ORD-000008,itm-1b00162e-bee1-492b-972f-631a50ce68da,Veggie Taco (PB),1,2,4.0,6,23.79,DineIn,2026-05-18 20:08:00,2026-05-18,2026,5,18,20,21,202621
loc-7e11383c-03a8-40bb-866e-ec596d780773,gfc-202607150836727,ORD-000008,itm-ce9fa280-a2b2-4305-a5f4-16c473bc220f,Chicken Quesadilla (PB),1,1,4.99,6,23.79,DineIn,2026-05-18 20:08:00,2026-05-18,2026,5,18,20,21,202621
loc-7e11383c-03a8-40bb-866e-ec596d780773,gfc-202607150836727,ORD-000008,itm-5eba8035-14f7-49e6-9150-4846b539d451,Fruit Punch(PB),4,1,3.1,6,23.79,DineIn,2026-05-18 20:08:00,2026-05-18,2026,5,18,20,21,202621
loc-7e11383c-03a8-40bb-866e-ec596d780773,gfc-202607150836727,ORD-000008,itm-31051eb0-09f6-4f27-9308-0d688026b31b,Strawberry(PB),4,1,3.1,6,23.79,DineIn,2026-05-18 20:08:00,2026-05-18,2026,5,18,20,21,202621
loc-7e11383c-03a8-40bb-866e-ec596d780773,gfc-202607150836727,ORD-000008,itm-3689d651-2ef5-465c-b226-78098f718aec,Iced Water (PB),3,1,0.1,6,23.79,DineIn,2026-05-18 20:08:00,2026-05-18,2026,5,18,20,21,202621
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000014,itm-316f6a0e-a859-4a88-a11f-b93ad7deb418,Ground Beef Burrito (PB),1,1,6.0,3,14.2,DineIn,2026-04-28 19:39:00,2026-04-28,2026,4,28,19,18,202618
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000014,itm-5be94727-3dcc-46a9-8595-b59e07dde0c5,Lemonade (PB),3,1,0.2,3,14.2,DineIn,2026-04-28 19:39:00,2026-04-28,2026,4,28,19,18,202618
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000014,itm-e3623351-09bd-4e03-8b7f-20803e017255,Churros (PB),4,1,8.0,3,14.2,DineIn,2026-04-28 19:39:00,2026-04-28,2026,4,28,19,18,202618
loc-7e11383c-03a8-40bb-866e-ec596d780773,gfc-202607150841657,ORD-000016,itm-1b92e7f0-cc3e-4867-89b2-8c8ac9f58345,Pico’s Al Pastor Taco(PB),1,2,5.5,3,23.2,DineIn,2026-04-27 12:42:00,2026-04-27,2026,4,27,12,18,202618
loc-7e11383c-03a8-40bb-866e-ec596d780773,gfc-202607150841657,ORD-000016,itm-063f60b9-c441-4be4-90e7-605b47579670,Pico’s Birria Taco(PB),1,2,6.0,3,23.2,DineIn,2026-04-27 12:42:00,2026-04-27,2026,4,27,12,18,202618
loc-7e11383c-03a8-40bb-866e-ec596d780773,gfc-202607150841657,ORD-000016,itm-5be94727-3dcc-46a9-8595-b59e07dde0c5,Lemonade (PB),3,1,0.2,3,23.2,DineIn,2026-04-27 12:42:00,2026-04-27,2026,4,27,12,18,202618
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000017,itm-fa906c20-2d01-4c89-ba3b-c4b96e7380ad,Beef Taco (PB),1,1,5.0,5,23.6,DineIn,2026-04-23 21:11:00,2026-04-23,2026,4,23,21,17,202617
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000017,itm-aedd3455-d266-40b4-a287-4fa938afe0d0,Build Your Own Tacos (PB),1,1,4.0,5,23.6,DineIn,2026-04-23 21:11:00,2026-04-23,2026,4,23,21,17,202617
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000017,itm-b1ec98e0-4668-4fb8-9d43-a83184aaaffa,Beef Burrito Bowl(PB),1,1,6.0,5,23.6,DineIn,2026-04-23 21:11:00,2026-04-23,2026,4,23,21,17,202617
loc-7e11383c-03a8-40bb-866e-ec596d780773,,ORD-000017,itm-1b92e7f0-cc3e-4867-89b2-8c8ac9f58345,Pico’s Al Pastor Taco(PB),1,1,5.5,5,23.6,DineIn,2026-04-23 21:11:00,2026-04-23,2026,4,23,21,17,202617
