locationid,frequentcustomerid,transactionheaderid,menuitemid,itemname,item_class_type,itemquantity,itemunitprice,numberofitems,ordersubtotal,ordertypelabel,orderdatelocal,businessdate,yyyy,mm,dd,hh,ww,yyww
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000001,itm-c0341a11-6b12-45c9-b931-1d94aeb655a4,Small Plate,5,1,15.00,6,36.70,DineIn,2026-05-08 11:04:00,2026-05-08,2026,05,08,11,19,2619
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000001,itm-4eceeb42-8e14-488a-9dd9-c11815a71518,Sunday Classic,1,1,12.00,6,36.70,DineIn,2026-05-08 11:04:00,2026-05-08,2026,05,08,11,19,2619
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000001,itm-6fb00844-2cbf-4850-8308-c309fcaba642,Corn Bread W/ Honey Butter,2,1,2.00,6,36.70,DineIn,2026-05-08 11:04:00,2026-05-08,2026,05,08,11,19,2619
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000001,itm-3066622e-6996-4e40-a4f6-034565b09891,Hosmer Black Cherry,3,1,2.60,6,36.70,DineIn,2026-05-08 11:04:00,2026-05-08,2026,05,08,11,19,2619
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000001,itm-d4da55ef-98a4-4e93-86d8-a4386cd21ddc,Hosmer Birch Beer,3,1,2.60,6,36.70,DineIn,2026-05-08 11:04:00,2026-05-08,2026,05,08,11,19,2619
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000001,itm-a40cc822-5a00-49ec-8c0b-fa64004602bd,S'mores Cookie,4,1,2.50,6,36.70,DineIn,2026-05-08 11:04:00,2026-05-08,2026,05,08,11,19,2619
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000002,itm-31cb89c8-f85f-48f7-bbc9-a50c0c34b64c,Shirley Potato Salad,2,1,0.00,2,23.00,DineIn,2026-05-16 19:43:00,2026-05-16,2026,05,16,19,20,2620
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000002,itm-adf52647-d74c-4450-8e37-17691f44e7ca,Pulled Chicken - Large,1,1,23.00,2,23.00,DineIn,2026-05-16 19:43:00,2026-05-16,2026,05,16,19,20,2620
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000003,itm-c0341a11-6b12-45c9-b931-1d94aeb655a4,Small Plate,5,1,15.00,5,28.00,DineIn,2026-04-11 14:46:00,2026-04-11,2026,04,11,14,15,2615
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000003,itm-cae9625c-2da5-421c-82da-1fd67b8359b7,BBQ Sandwich,5,1,10.00,5,28.00,DineIn,2026-04-11 14:46:00,2026-04-11,2026,04,11,14,15,2615
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000003,itm-63ab0456-88f8-4256-b869-fdd065f37f9f,Cousin's Collard Greens,2,1,0.00,5,28.00,DineIn,2026-04-11 14:46:00,2026-04-11,2026,04,11,14,15,2615
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000003,itm-1aa27755-1a22-4dad-81e4-80b86b9498b9,Bottled Water,3,1,1.00,5,28.00,DineIn,2026-04-11 14:46:00,2026-04-11,2026,04,11,14,15,2615
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000003,itm-b88dd35e-c19b-4184-8060-d0a4bef14292,Fiji Water,3,1,2.00,5,28.00,DineIn,2026-04-11 14:46:00,2026-04-11,2026,04,11,14,15,2615
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000004,itm-1cfd98d6-e8b9-46b0-aaa0-f1d285991f7b,Casa,1,1,9.00,6,36.20,DineIn,2026-05-08 12:47:00,2026-05-08,2026,05,08,12,19,2619
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000004,itm-0eb09fb5-9bc7-4d7b-bd8f-9e725effcc78,Bacon & Apple,1,2,10.00,6,36.20,DineIn,2026-05-08 12:47:00,2026-05-08,2026,05,08,12,19,2619
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000004,itm-e6a39053-c6e9-418d-bbf4-821cabd05101,Freaky Dog Orange Bite,3,1,2.60,6,36.20,DineIn,2026-05-08 12:47:00,2026-05-08,2026,05,08,12,19,2619
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000004,itm-869491af-d458-442b-861d-4220950fa613,Lemon Sparkling Water - Poland Springs 16 oz.,3,1,2.00,6,36.20,DineIn,2026-05-08 12:47:00,2026-05-08,2026,05,08,12,19,2619
loc-c896e94d-f5ee-4466-b4c0-399bbc287fb0,,ord-000004,itm-00fed6d1-c371-4ddf-aca4-fba0e53c87e6,Sprite,3,1,2.60,6,36.20,DineIn,2026-05-08 12:47:00,2026-05-08,2026,05,08,12,19,2619
